이름,이미지,작품명,재료,크기,년도,에디션 넘버,가격,프로필,작가노트,작가 이력,이미지파일명
오윤,,무호도,목판,35×25.6cm,1985,,"₩1,500,000","한국 현대미술의 거대한 산맥이자 민중의 삶을 예술로 승화시킨 오윤은, 격동의 1980년대가 낳은 가장 뜨겁고도 진솔한 예술가였습니다. 그는 소설 ‘갯마을’로 잘 알려진 오영수 작가의 아들로 태어나 예술적 토양이 비옥한 환경에서 자랐지만, 그의 시선은 언제나 화려한 화단보다는 척박한 땅을 딛고 서 있는 민초들의 삶을 향해 있었습니다. 서울대학교에서 조소를 전공하며 서구 미학의 세례를 받았음에도 불구하고, 그는 박물관에 갇힌 박제된 미학이 아닌 거리와 현장에서 호흡하는 살아있는 미술을 갈구했습니다. 이러한 고민 끝에 그가 선택한 매체는 목판화였습니다. 한 번의 칼질로 되돌릴 수 없는 흔적을 남기는 목판화는, 투박하면서도 힘찬 그의 예술 정신을 표현하기에 가장 적합한 도구였습니다.

오윤의 작품을 관통하는 가장 핵심적인 정서는 한국인의 심연에 깔린 ‘한(恨)’과 이를 단숨에 깨치고 일어서는 ‘신명’의 조화입니다. 그의 판화 속에 등장하는 인물들은 결코 가냘프거나 나약하지 않습니다. 굵고 거친 선으로 묘사된 그들의 몸짓, 특히 역동적으로 어깨를 들썩이는 춤사위는 억눌린 현실의 고통을 딛고 일어서는 강인한 생명력을 상징합니다. 그는 탈춤, 무속, 도깨비와 같은 민속적 소재들을 현대적 감각으로 재해석하여, 서구적 조형미에 길들여진 우리 미술계에 한국적 원형이 무엇인지를 강렬하게 각인시켰습니다. 그에게 판화는 단순히 그림을 찍어내는 기술이 아니라, 시대의 아픔을 칼끝으로 새기고 대중과 그 아픔을 나누는 소통의 의식이기도 했습니다.

그는 예술이 소수의 특권층이 향유하는 전유물이 되는 것을 경계했습니다. ""미술은 많은 사람이 나누어야 한다""는 신념 아래, 자신의 판화를 시집의 표지나 노동 현장의 전단지에 아낌없이 내어주었던 일화는 그가 추구했던 예술의 공공성을 잘 보여줍니다. 자본주의의 기형적인 욕망을 풍자한 대작부터 고단한 삶을 위로하는 따뜻한 드로잉까지, 그의 작업은 언제나 인간에 대한 깊은 신뢰와 사랑에 뿌리를 두고 있었습니다. 비록 1986년, 마흔 한 살이라는 너무도 이른 나이에 간경화로 짧은 생을 마감했지만, 그가 남긴 칼자국들은 40여 년이 흐른 오늘날까지도 지워지지 않는 깊은 울림을 전해줍니다.

2026년 현재, 우리는 그 어느 때보다 기술적으로 화려한 시대를 살아가고 있지만 오윤의 투박한 목판화가 여전히 큰 감동을 주는 이유는 그 안에 담긴 진정성 때문일 것입니다. 그는 예술가가 시대와 어떻게 마주해야 하는지, 그리고 가장 한국적인 것이 어떻게 보편적인 인간의 가치에 닿을 수 있는지를 몸소 보여주었습니다. 오윤은 떠났지만 그가 나무판 위에 새겨놓은 민중의 춤사위는 여전히 멈추지 않고 계속되고 있으며, 그의 예술은 한국 미술사에서 잊을 수 없는 가장 인간적이고도 찬란한 기록으로 남아 있습니다.",,,153
오윤,,낮도깨비,목판,54.5×36cm,1985,,"₩2,400,000","한국 현대미술의 거대한 산맥이자 민중의 삶을 예술로 승화시킨 오윤은, 격동의 1980년대가 낳은 가장 뜨겁고도 진솔한 예술가였습니다. 그는 소설 ‘갯마을’로 잘 알려진 오영수 작가의 아들로 태어나 예술적 토양이 비옥한 환경에서 자랐지만, 그의 시선은 언제나 화려한 화단보다는 척박한 땅을 딛고 서 있는 민초들의 삶을 향해 있었습니다. 서울대학교에서 조소를 전공하며 서구 미학의 세례를 받았음에도 불구하고, 그는 박물관에 갇힌 박제된 미학이 아닌 거리와 현장에서 호흡하는 살아있는 미술을 갈구했습니다. 이러한 고민 끝에 그가 선택한 매체는 목판화였습니다. 한 번의 칼질로 되돌릴 수 없는 흔적을 남기는 목판화는, 투박하면서도 힘찬 그의 예술 정신을 표현하기에 가장 적합한 도구였습니다.

오윤의 작품을 관통하는 가장 핵심적인 정서는 한국인의 심연에 깔린 ‘한(恨)’과 이를 단숨에 깨치고 일어서는 ‘신명’의 조화입니다. 그의 판화 속에 등장하는 인물들은 결코 가냘프거나 나약하지 않습니다. 굵고 거친 선으로 묘사된 그들의 몸짓, 특히 역동적으로 어깨를 들썩이는 춤사위는 억눌린 현실의 고통을 딛고 일어서는 강인한 생명력을 상징합니다. 그는 탈춤, 무속, 도깨비와 같은 민속적 소재들을 현대적 감각으로 재해석하여, 서구적 조형미에 길들여진 우리 미술계에 한국적 원형이 무엇인지를 강렬하게 각인시켰습니다. 그에게 판화는 단순히 그림을 찍어내는 기술이 아니라, 시대의 아픔을 칼끝으로 새기고 대중과 그 아픔을 나누는 소통의 의식이기도 했습니다.

그는 예술이 소수의 특권층이 향유하는 전유물이 되는 것을 경계했습니다. ""미술은 많은 사람이 나누어야 한다""는 신념 아래, 자신의 판화를 시집의 표지나 노동 현장의 전단지에 아낌없이 내어주었던 일화는 그가 추구했던 예술의 공공성을 잘 보여줍니다. 자본주의의 기형적인 욕망을 풍자한 대작부터 고단한 삶을 위로하는 따뜻한 드로잉까지, 그의 작업은 언제나 인간에 대한 깊은 신뢰와 사랑에 뿌리를 두고 있었습니다. 비록 1986년, 마흔 한 살이라는 너무도 이른 나이에 간경화로 짧은 생을 마감했지만, 그가 남긴 칼자국들은 40여 년이 흐른 오늘날까지도 지워지지 않는 깊은 울림을 전해줍니다.

2026년 현재, 우리는 그 어느 때보다 기술적으로 화려한 시대를 살아가고 있지만 오윤의 투박한 목판화가 여전히 큰 감동을 주는 이유는 그 안에 담긴 진정성 때문일 것입니다. 그는 예술가가 시대와 어떻게 마주해야 하는지, 그리고 가장 한국적인 것이 어떻게 보편적인 인간의 가치에 닿을 수 있는지를 몸소 보여주었습니다. 오윤은 떠났지만 그가 나무판 위에 새겨놓은 민중의 춤사위는 여전히 멈추지 않고 계속되고 있으며, 그의 예술은 한국 미술사에서 잊을 수 없는 가장 인간적이고도 찬란한 기록으로 남아 있습니다.",,,154
오윤,,남녁땅뱃노래,목판,17.5x25.5cm,1985,,"₩2,400,000","한국 현대미술의 거대한 산맥이자 민중의 삶을 예술로 승화시킨 오윤은, 격동의 1980년대가 낳은 가장 뜨겁고도 진솔한 예술가였습니다. 그는 소설 ‘갯마을’로 잘 알려진 오영수 작가의 아들로 태어나 예술적 토양이 비옥한 환경에서 자랐지만, 그의 시선은 언제나 화려한 화단보다는 척박한 땅을 딛고 서 있는 민초들의 삶을 향해 있었습니다. 서울대학교에서 조소를 전공하며 서구 미학의 세례를 받았음에도 불구하고, 그는 박물관에 갇힌 박제된 미학이 아닌 거리와 현장에서 호흡하는 살아있는 미술을 갈구했습니다. 이러한 고민 끝에 그가 선택한 매체는 목판화였습니다. 한 번의 칼질로 되돌릴 수 없는 흔적을 남기는 목판화는, 투박하면서도 힘찬 그의 예술 정신을 표현하기에 가장 적합한 도구였습니다.

오윤의 작품을 관통하는 가장 핵심적인 정서는 한국인의 심연에 깔린 ‘한(恨)’과 이를 단숨에 깨치고 일어서는 ‘신명’의 조화입니다. 그의 판화 속에 등장하는 인물들은 결코 가냘프거나 나약하지 않습니다. 굵고 거친 선으로 묘사된 그들의 몸짓, 특히 역동적으로 어깨를 들썩이는 춤사위는 억눌린 현실의 고통을 딛고 일어서는 강인한 생명력을 상징합니다. 그는 탈춤, 무속, 도깨비와 같은 민속적 소재들을 현대적 감각으로 재해석하여, 서구적 조형미에 길들여진 우리 미술계에 한국적 원형이 무엇인지를 강렬하게 각인시켰습니다. 그에게 판화는 단순히 그림을 찍어내는 기술이 아니라, 시대의 아픔을 칼끝으로 새기고 대중과 그 아픔을 나누는 소통의 의식이기도 했습니다.

그는 예술이 소수의 특권층이 향유하는 전유물이 되는 것을 경계했습니다. ""미술은 많은 사람이 나누어야 한다""는 신념 아래, 자신의 판화를 시집의 표지나 노동 현장의 전단지에 아낌없이 내어주었던 일화는 그가 추구했던 예술의 공공성을 잘 보여줍니다. 자본주의의 기형적인 욕망을 풍자한 대작부터 고단한 삶을 위로하는 따뜻한 드로잉까지, 그의 작업은 언제나 인간에 대한 깊은 신뢰와 사랑에 뿌리를 두고 있었습니다. 비록 1986년, 마흔 한 살이라는 너무도 이른 나이에 간경화로 짧은 생을 마감했지만, 그가 남긴 칼자국들은 40여 년이 흐른 오늘날까지도 지워지지 않는 깊은 울림을 전해줍니다.

2026년 현재, 우리는 그 어느 때보다 기술적으로 화려한 시대를 살아가고 있지만 오윤의 투박한 목판화가 여전히 큰 감동을 주는 이유는 그 안에 담긴 진정성 때문일 것입니다. 그는 예술가가 시대와 어떻게 마주해야 하는지, 그리고 가장 한국적인 것이 어떻게 보편적인 인간의 가치에 닿을 수 있는지를 몸소 보여주었습니다. 오윤은 떠났지만 그가 나무판 위에 새겨놓은 민중의 춤사위는 여전히 멈추지 않고 계속되고 있으며, 그의 예술은 한국 미술사에서 잊을 수 없는 가장 인간적이고도 찬란한 기록으로 남아 있습니다.",,,155
오윤,,석양,목판,23.5×22.5cm,1982,,"₩900,000","한국 현대미술의 거대한 산맥이자 민중의 삶을 예술로 승화시킨 오윤은, 격동의 1980년대가 낳은 가장 뜨겁고도 진솔한 예술가였습니다. 그는 소설 ‘갯마을’로 잘 알려진 오영수 작가의 아들로 태어나 예술적 토양이 비옥한 환경에서 자랐지만, 그의 시선은 언제나 화려한 화단보다는 척박한 땅을 딛고 서 있는 민초들의 삶을 향해 있었습니다. 서울대학교에서 조소를 전공하며 서구 미학의 세례를 받았음에도 불구하고, 그는 박물관에 갇힌 박제된 미학이 아닌 거리와 현장에서 호흡하는 살아있는 미술을 갈구했습니다. 이러한 고민 끝에 그가 선택한 매체는 목판화였습니다. 한 번의 칼질로 되돌릴 수 없는 흔적을 남기는 목판화는, 투박하면서도 힘찬 그의 예술 정신을 표현하기에 가장 적합한 도구였습니다.

오윤의 작품을 관통하는 가장 핵심적인 정서는 한국인의 심연에 깔린 ‘한(恨)’과 이를 단숨에 깨치고 일어서는 ‘신명’의 조화입니다. 그의 판화 속에 등장하는 인물들은 결코 가냘프거나 나약하지 않습니다. 굵고 거친 선으로 묘사된 그들의 몸짓, 특히 역동적으로 어깨를 들썩이는 춤사위는 억눌린 현실의 고통을 딛고 일어서는 강인한 생명력을 상징합니다. 그는 탈춤, 무속, 도깨비와 같은 민속적 소재들을 현대적 감각으로 재해석하여, 서구적 조형미에 길들여진 우리 미술계에 한국적 원형이 무엇인지를 강렬하게 각인시켰습니다. 그에게 판화는 단순히 그림을 찍어내는 기술이 아니라, 시대의 아픔을 칼끝으로 새기고 대중과 그 아픔을 나누는 소통의 의식이기도 했습니다.

그는 예술이 소수의 특권층이 향유하는 전유물이 되는 것을 경계했습니다. ""미술은 많은 사람이 나누어야 한다""는 신념 아래, 자신의 판화를 시집의 표지나 노동 현장의 전단지에 아낌없이 내어주었던 일화는 그가 추구했던 예술의 공공성을 잘 보여줍니다. 자본주의의 기형적인 욕망을 풍자한 대작부터 고단한 삶을 위로하는 따뜻한 드로잉까지, 그의 작업은 언제나 인간에 대한 깊은 신뢰와 사랑에 뿌리를 두고 있었습니다. 비록 1986년, 마흔 한 살이라는 너무도 이른 나이에 간경화로 짧은 생을 마감했지만, 그가 남긴 칼자국들은 40여 년이 흐른 오늘날까지도 지워지지 않는 깊은 울림을 전해줍니다.

2026년 현재, 우리는 그 어느 때보다 기술적으로 화려한 시대를 살아가고 있지만 오윤의 투박한 목판화가 여전히 큰 감동을 주는 이유는 그 안에 담긴 진정성 때문일 것입니다. 그는 예술가가 시대와 어떻게 마주해야 하는지, 그리고 가장 한국적인 것이 어떻게 보편적인 인간의 가치에 닿을 수 있는지를 몸소 보여주었습니다. 오윤은 떠났지만 그가 나무판 위에 새겨놓은 민중의 춤사위는 여전히 멈추지 않고 계속되고 있으며, 그의 예술은 한국 미술사에서 잊을 수 없는 가장 인간적이고도 찬란한 기록으로 남아 있습니다.",,,156
백금아,,프린세스 오드리,acrylic on canvas,72.7x60.6cm,2024,,"₩2,000,000",,,"노리갤러리 3인전(2014), 한국수채화협회전(2010~2018), 백금아 개인전(), 제주신화전(2023~25), 예술인협동조합전(2024~25) 외 다수",157
이재정,,이중초상화(A double portrait) #1,혼합매체(Mixed media),60×40cm,2025,,"₩900,000",,,"제주신화전(2016), 박근혜 하야전(2017), 대구사진비엔날레(프린지), 수원국제사진축제, 제주신화 한일전(2017),화산섬국제사진제, 대한민국국제포토페스티벌, 이중초상화연작전(2019), 사라진 정원전, 마을극장 DMZ레지던시전(2020), 슬기로운살림살이전(2021), 새들은 펜데믹을 두려워 하지 않는다전(2022), 화산도전(2023), 칠실파려안전(2024), 천 개의 카메라(2025) 등 개인전•단체전•아트페어 참여 다수",158
기조,,The Stare,화판에 목각과 채색,72.7x60.6cm,2025,,"₩1,400,000",,,,159
정연수,,reflection8 부엌 pm5h47m,oil on canvas,53.0x72.7cm,2022,,"₩2,300,000",," “오늘날 누가 사물이 자신을 빤히 바라보거나 말을 건다고 느끼는가? 누가 사물의 얼굴을 지각하는가? .. 누가 사물의 고유한 삶을 지각하는가? 사물의 따뜻한 바라봄이 누구를 행복하게 하는가? ..” (사물의 소멸_한병철)
“지금, 여기(now&here) 내가 있는 공간, 내가 바라본 대상들에게 나의 반응과 태도는 어떠하며 어떠해야 하는가?”란 질문을 갖고 대상을 오래 관찰하며 작업은 시작된다.
디지털화, 탈사물화 된 시대에 버려지고 소비되는 일상의 사물들조차 자신만의 시간과 역사를 담고 있다. 우리가 보는 것이 동시에 우리를 응시한다. 사물도 경험을 한다. 사물은 시선과 시간의 압축물이다.
내 회화는 ‘사물을 그린 것’이 아니라 ‘사물을 보는 시각을 그린 것’이다. 내가 사물을 바라보는 태도, 사물이 나를 바라보는 시선, 여기서 비롯된 관계맺음을 회화화 한 것이다. 
이번 씨앗페에 출품한 “reflection(빛이 지나간 자리)” 시리즈는 대상의 이면, 그림자를 통해 존재를 드러내는 방식으로의 회화이다.","2002 홍익대학교 회화과 학사
2006 홍익대학교 일반대학원 회화과 석사

Solo Exhibition
2022 「마음에 아로새길 상 忄象」, 갤러리너트, 서울
2022 「Im’pression」, 갤러리도스, 서울
2020 「Dear. D. L.」, 가고시포갤러리, 서울
2009 「윈도우전」, 윈도우갤러리, 갤러리현대, 서울
2008 「mommy was born」, 노암갤러리, 서울

Group Exhibition
2026 「심수지견(心手之見)」, 갤러리디아르테, 서울  
 「2026씨앗페」, 인사아트센터, 서울
2025 「아티스트 레지던시」, 장교숙소 5단지 전시관, 서울
 「still life 그럼에도 불구하고 삶」, 갤러리온도, 서울
2024 「crossword」, 갤러리온도, 서울
2010 「Do Window Vol.2」, 갤러리현대, 서울
2009 「3rd Summerfish Project; House」, 역삼동 725-20 서울
「동심동화」, 가나아트센터, 서울
2005 「캔디정신전」, (이대 김옥길박물관) ,서울, 한국
 「contemporary project」, cps32 갤러리, 뉴욕, U.S.A. 
 「미래는 오늘부터」한일교류전, 북한강갤러리,  
 「파란-정화(淨華)」석사학위청구전, 서울국제디자인플라자 
 「2nd cutting edge」 서울 옥션스페이스 
2003 「話人熱展-now&here image」, 한전갤러리 
 「2003청년우수작가 프랑스 교류전」, 갤러리 파리 보부르, 프랑스 
 「유쾌한 공작소」, 서울시립미술관-600주년 기념관 
      「예술가는 마법사」,아트사이드 
2002 「날아가는 돼지열차」, 5호선 지하철내부 
 「2002잠실재개발프로젝트 :살기 좋은 동네 잠실, 안양의 명당 석수」,
잠실송전초교, 안양stone&water갤러리 
 「G.P.S.-where is where」, 홍익대학교 현대미술관 
 「기억 그리고 흔적」, 방배동 무지개아파트 5-803",160
정연수,,빛이 지나간 자리3 pm7h1m,oil on canvas,72.7x53cm,2025,,"₩2,300,000",," “오늘날 누가 사물이 자신을 빤히 바라보거나 말을 건다고 느끼는가? 누가 사물의 얼굴을 지각하는가? .. 누가 사물의 고유한 삶을 지각하는가? 사물의 따뜻한 바라봄이 누구를 행복하게 하는가? ..” (사물의 소멸_한병철)
“지금, 여기(now&here) 내가 있는 공간, 내가 바라본 대상들에게 나의 반응과 태도는 어떠하며 어떠해야 하는가?”란 질문을 갖고 대상을 오래 관찰하며 작업은 시작된다.
디지털화, 탈사물화 된 시대에 버려지고 소비되는 일상의 사물들조차 자신만의 시간과 역사를 담고 있다. 우리가 보는 것이 동시에 우리를 응시한다. 사물도 경험을 한다. 사물은 시선과 시간의 압축물이다.
내 회화는 ‘사물을 그린 것’이 아니라 ‘사물을 보는 시각을 그린 것’이다. 내가 사물을 바라보는 태도, 사물이 나를 바라보는 시선, 여기서 비롯된 관계맺음을 회화화 한 것이다. 
이번 씨앗페에 출품한 “reflection(빛이 지나간 자리)” 시리즈는 대상의 이면, 그림자를 통해 존재를 드러내는 방식으로의 회화이다.
","2002 홍익대학교 회화과 학사
2006 홍익대학교 일반대학원 회화과 석사

Solo Exhibition
2022 「마음에 아로새길 상 忄象」, 갤러리너트, 서울
2022 「Im’pression」, 갤러리도스, 서울
2020 「Dear. D. L.」, 가고시포갤러리, 서울
2009 「윈도우전」, 윈도우갤러리, 갤러리현대, 서울
2008 「mommy was born」, 노암갤러리, 서울

Group Exhibition
2026 「심수지견(心手之見)」, 갤러리디아르테, 서울  
 「2026씨앗페」, 인사아트센터, 서울
2025 「아티스트 레지던시」, 장교숙소 5단지 전시관, 서울
 「still life 그럼에도 불구하고 삶」, 갤러리온도, 서울
2024 「crossword」, 갤러리온도, 서울
2010 「Do Window Vol.2」, 갤러리현대, 서울
2009 「3rd Summerfish Project; House」, 역삼동 725-20 서울
「동심동화」, 가나아트센터, 서울
2005 「캔디정신전」, (이대 김옥길박물관) ,서울, 한국
 「contemporary project」, cps32 갤러리, 뉴욕, U.S.A. 
 「미래는 오늘부터」한일교류전, 북한강갤러리,  
 「파란-정화(淨華)」석사학위청구전, 서울국제디자인플라자 
 「2nd cutting edge」 서울 옥션스페이스 
2003 「話人熱展-now&here image」, 한전갤러리 
 「2003청년우수작가 프랑스 교류전」, 갤러리 파리 보부르, 프랑스 
 「유쾌한 공작소」, 서울시립미술관-600주년 기념관 
      「예술가는 마법사」,아트사이드 
2002 「날아가는 돼지열차」, 5호선 지하철내부 
 「2002잠실재개발프로젝트 :살기 좋은 동네 잠실, 안양의 명당 석수」,
잠실송전초교, 안양stone&water갤러리 
